,conv1,layer1.0.conv1,layer1.0.conv2,layer1.0.conv3,layer1.1.conv1,layer1.1.conv2,layer1.1.conv3,layer1.2.conv1,layer1.2.conv2,layer1.2.conv3,layer2.0.conv1,layer2.0.conv2,layer2.0.conv3,layer2.1.conv1,layer2.1.conv2,layer2.1.conv3,layer2.2.conv1,layer2.2.conv2,layer2.2.conv3,layer2.3.conv1,layer2.3.conv2,layer2.3.conv3,layer3.0.conv1,layer3.0.conv2,layer3.0.conv3,layer3.1.conv1,layer3.1.conv2,layer3.1.conv3,layer3.2.conv1,layer3.2.conv2,layer3.2.conv3,layer3.3.conv1,layer3.3.conv2,layer3.3.conv3,layer3.4.conv1,layer3.4.conv2,layer3.4.conv3,layer3.5.conv1,layer3.5.conv2,layer3.5.conv3,layer4.0.conv1,layer4.0.conv2,layer4.0.conv3,layer4.1.conv1,layer4.1.conv2,layer4.1.conv3,layer4.2.conv1,layer4.2.conv2,layer4.2.conv3
10,-0.9673444600647878,-0.9734131691272104,-0.9643641690241354,-0.9572408266730876,-0.9657858507239915,-0.9207156285928993,-0.894044042319514,-0.9658163275051748,-0.9626275289875028,-0.943966814396507,-0.9609548712330445,-0.9460045260132897,-0.9420862308755296,-0.9432098185560566,-0.942000442454455,-0.9412398879670588,-0.9562469564626443,-0.9576289377761212,-0.9481402289864297,-0.9401399755541515,-0.9120434989281632,-0.9195180197186943,-0.9818958039221438,-0.9704144958110716,-0.9713838412573603,-0.9837346467177677,-0.9204390332252224,-0.9649360340320626,-0.9984823411213821,-0.9539941185180701,-0.9132583898913382,-0.998293533863331,-0.9792516980752293,-0.6718709657933657,-0.9994666996139919,-0.9821418418359422,-0.9657515365136673,-0.994113380278059,-0.9390100008562079,-0.9336022764736618,-0.9963614627973726,-0.9124896105910973,-0.7994559558449875,-0.9511533618592247,-0.6719575017846726,-0.43684158946678464,-0.7460820635900932,-0.3477287966116019,-0.13898819250260297
11,-0.9654640750740222,-0.9683224026858473,-0.9584670679827267,-0.9568089591190756,-0.9689421964379172,-0.9470837657234632,-0.9286184859686066,-0.9691024432594457,-0.9536840364193682,-0.9433125348559943,-0.9630693480311668,-0.9510886654363936,-0.946499500092548,-0.9546778903472737,-0.9553999062201504,-0.9504752605512847,-0.9606007194667393,-0.9515670592683324,-0.9397532911738318,-0.9478266368351471,-0.9313822270863121,-0.932982206946703,-0.9777339485206593,-0.9637234614477925,-0.9573822816108382,-0.9857708060248829,-0.9511374004231663,-0.9666237717501425,-0.9983322178890601,-0.9627176282601762,-0.8644392887570068,-0.998104130063356,-0.977416521967116,-0.780940647047994,-0.9992047312364625,-0.9701136108694965,-0.9637149857171081,-0.9950082139766783,-0.9232987754935811,-0.8880558207158302,-0.9965643823057939,-0.894853458693459,-0.8319843297508809,-0.9445202126075678,-0.6702126824096645,-0.4974757724715903,-0.7473831160622684,-0.46246079464206646,-0.4930632104969846
12,-0.975346896589515,-0.9797927892530061,-0.9768557352652647,-0.9706871968180537,-0.9747709967903129,-0.9540794731730894,-0.9399084495223163,-0.9773913213305894,-0.9692085003506153,-0.9529048489874017,-0.9736095360377017,-0.968238597775746,-0.9616916781586204,-0.9661865595305279,-0.9704890796725824,-0.9654567110809117,-0.9686339184384694,-0.9637576565919417,-0.954588235559133,-0.9555337276763437,-0.9387252047332044,-0.9414988693018904,-0.9844142736521673,-0.9758046216869158,-0.9734946454117803,-0.9906884570188534,-0.9644748976658795,-0.9780229879299289,-0.9986056139275848,-0.9591796294139929,-0.9066982848322243,-0.9985038771256176,-0.985032793157602,-0.9440509147784906,-0.9993976290852675,-0.9757060915263376,-0.9553916641748887,-0.9954863018827563,-0.9401824268406724,-0.9146360400876765,-0.9970567972177691,-0.9220585853419518,-0.8955004223433743,-0.9631477419175974,-0.80735865982078,-0.7427261732637138,-0.8488230794566373,-0.7117357198471608,-0.6711857490819294
13,-0.8990321351465591,-0.910503958922424,-0.8955122202248075,-0.8787481942544078,-0.9221321629425265,-0.8450144229222039,-0.8220769098817124,-0.9390167321226103,-0.888170696130269,-0.8244566285986636,-0.9283158251800351,-0.8666824723975877,-0.836413511463801,-0.9060096816014679,-0.8997125579426652,-0.8867318736994951,-0.9224379357830582,-0.878481957930019,-0.8403480293854888,-0.8958452894149769,-0.8289156001854049,-0.8567463682177237,-0.9631366563188415,-0.9107913492914106,-0.8923440044686917,-0.9758537634797488,-0.877961629875396,-0.9411407519321887,-0.9976810534899055,-0.9242117325804857,-0.9107467561664053,-0.9972165067441527,-0.9587025666033971,-0.7772700398443546,-0.9991125740795201,-0.9775844487784606,-0.9423299861653502,-0.9921254780036091,-0.8890377412886893,-0.8737599869682257,-0.9947708289909597,-0.8392658526566055,-0.748872496741763,-0.883585167805712,-0.5566447605444109,-0.4385116682756117,-0.6188658123219164,-0.4318004017643171,-0.5078142972107368
14,-0.962214491199192,-0.9688570281878909,-0.9654374203392472,-0.9591055601955761,-0.9659450948801517,-0.9436565629749151,-0.9304740402465137,-0.9642546842563309,-0.9522917972507097,-0.9430256384968367,-0.959182709833645,-0.9477569927418532,-0.9496083867804754,-0.9502922750198819,-0.941446442745953,-0.9479561817217999,-0.9509227835891626,-0.9435948913188748,-0.9393111390238038,-0.9464182827318963,-0.9272905485938971,-0.9275926858621124,-0.9728241231204042,-0.9641328666658878,-0.9575979373450126,-0.9750630763152639,-0.93924291988178,-0.9512025568547604,-0.9908306207128819,-0.8730046618212073,-0.7789940716808623,-0.9926953779988972,-0.919528355624706,-0.9839077099374416,-0.9943848429594728,-0.9298913249216959,-0.9744914354708953,-0.9891688773727847,-0.9184309258834821,-0.9423062857581904,-0.9929136259819348,-0.9206121920838145,-0.9150579024934645,-0.9445578511714128,-0.8140296925286984,-0.6168763568292173,-0.8174453238488262,-0.4255384294232109,-0.1845746303195819
15,-0.9628786730435499,-0.9748126447102582,-0.9673337386324223,-0.958371852855296,-0.9633551845739041,-0.9264964691915826,-0.9055040596426889,-0.9653597295055848,-0.9495856266459459,-0.926487869577482,-0.9571227562749132,-0.9415357023272162,-0.933595986228054,-0.9437687591857415,-0.9499725264499085,-0.9443522804523938,-0.9530117297827729,-0.9450107023488132,-0.9337583324059344,-0.9424485869978716,-0.9233573931379431,-0.928107861358329,-0.9791808556275079,-0.9659830536650149,-0.9611372732693636,-0.9850881698778848,-0.9428372337594134,-0.9712341417440884,-0.9978173797482722,-0.9136055532313978,-0.9154976683472872,-0.9977461317086189,-0.9695054406297942,-0.924764911915378,-0.999031634269805,-0.9691887132009835,-0.9539878974077176,-0.9937809905621591,-0.9276632275710068,-0.9136620112700589,-0.9959507096888134,-0.9057511156949737,-0.8356069504351221,-0.9434136888813742,-0.7246754925034191,-0.5565050241308304,-0.7706790351120384,-0.5042958409175764,-0.40221096918234694
16,-0.9799133769898454,-0.983423152523706,-0.9788181153465625,-0.9756857505331697,-0.9789727327081569,-0.9666180023787035,-0.9506738608875914,-0.9737493223084505,-0.9649466017070607,-0.9572182543349532,-0.9655149872683595,-0.9604796223448407,-0.9584452826270933,-0.9571649694128171,-0.9606059825169367,-0.9603674585792448,-0.9621089782406118,-0.9559800617216567,-0.9504419455128681,-0.9583879167966068,-0.9512288621595616,-0.9519562948273221,-0.9809792202000247,-0.9769551435325616,-0.9741845326551919,-0.9776464210354341,-0.9519070967197345,-0.9615129579752324,-0.9963071181536055,-0.8969225510678308,-0.7644060238762191,-0.9964078279586819,-0.9555962985028611,-0.9106981642666899,-0.9975750604461202,-0.9249380011442649,-0.9624601454033814,-0.9931712701146794,-0.9033574653338132,-0.8755307961896066,-0.9954023585882515,-0.9039028476365074,-0.8857946089495351,-0.9566175671864527,-0.7816376728895172,-0.5944703106116829,-0.8300142801981581,-0.4826844240796926,-0.24615804753911075
17,-0.9786820644657133,-0.9799915868500446,-0.9765914776515913,-0.9716949357970002,-0.9760366413610873,-0.9561628455776692,-0.9370269574230745,-0.9748658049305166,-0.9713388171279981,-0.9572966584733855,-0.9692221595099468,-0.9611317242297774,-0.9587359262869635,-0.9590606858858911,-0.9628540715484375,-0.961946251031668,-0.9673641782821755,-0.9690099426661981,-0.9628793840340389,-0.956603443350794,-0.941211834325725,-0.9427779250479842,-0.9849855737526981,-0.979301978312522,-0.979464957304214,-0.986095872269872,-0.9439072967084294,-0.9684801881190961,-0.9984294899988695,-0.9266048827401837,-0.8947412781552597,-0.9983853644982612,-0.9817086859469535,-0.9791649964042587,-0.9992869479381401,-0.9663538191149079,-0.9611200363348568,-0.9944259023472327,-0.9346462736959267,-0.9246608848940151,-0.996592614885764,-0.9229161369234663,-0.8994464481571789,-0.9655895421928555,-0.7959718716832828,-0.7121275086945611,-0.8345343519973036,-0.6790214337510704,-0.6369301479272732
18,-0.9854948144611622,-0.9855244249849023,-0.9852355147055064,-0.9799086414607933,-0.9852293899996523,-0.975546969584089,-0.964406791202586,-0.9862614413132281,-0.9832451597427461,-0.9707711849005549,-0.9840144036262032,-0.9817596123247938,-0.9782614434500129,-0.9803702649437551,-0.9836434551693133,-0.9790789565058838,-0.9809444723377341,-0.9783646491050524,-0.9711543678352057,-0.9721586551793097,-0.9573233960462679,-0.9593065704333467,-0.9912955145265397,-0.9871271213934028,-0.987714732513366,-0.994056958874127,-0.9757117901089722,-0.9834025282385299,-0.998987085359982,-0.9340989104841718,-0.8425552645708009,-0.9989973611898992,-0.9880346045510155,-0.3724156563752748,-0.9994881514775766,-0.9670369053213291,-0.9709165843437582,-0.9965742622274509,-0.9488540872517577,-0.9184248140032327,-0.9978244459325366,-0.9407202246545066,-0.9411331111055643,-0.9763693164983234,-0.8463098669328014,-0.8031398915992166,-0.8775276520638973,-0.771961989562773,-0.7450901968618648
19,-0.9582374980519183,-0.9584673101997438,-0.9565870523917026,-0.9507414581661283,-0.9625228801151172,-0.9452565568997189,-0.932374121272576,-0.9627720413402742,-0.9455124460215729,-0.9350258745461901,-0.958040960786296,-0.9448524764895426,-0.9415763019493881,-0.9499632240772815,-0.950419403415286,-0.9461824613344654,-0.9551249777202987,-0.9397222764444786,-0.926597214585033,-0.945893481537546,-0.9229526702566064,-0.9281405102594418,-0.9757253973861656,-0.9580962166476727,-0.9543815261241481,-0.9811203324122661,-0.934355312427052,-0.9568536014801623,-0.9966121558445138,-0.8918604164844275,-0.8032286723536659,-0.9966552808745481,-0.9513324940453927,-0.6758753601553038,-0.9977521194580331,-0.9396618728925569,-0.9586835078057497,-0.9936007298102743,-0.8859672727729702,-0.840970312473818,-0.9956728866926885,-0.868635042728837,-0.8618106487270885,-0.9405291917791339,-0.685306355486423,-0.49926192024395116,-0.7610268962108785,-0.4281395596098705,-0.442619967242234
