,conv1,conv1_1,conv2,conv2_1,conv3,conv3_1,conv3_2,conv4,conv4_1,conv4_2,conv5,conv5_1,conv5_2,fc6,fc7,fc8a
13,-0.8558439072194346,-0.8563353885925706,-0.8398963762311771,-0.841135527011735,-0.7576399555724362,-0.6993553373775905,-0.713756090920532,-0.664945144103578,-0.58734092528103,-0.6012104557766071,-0.5387472522068366,-0.5199556252252203,-0.4517812649185893,-0.41193179102386646,-0.3476066998853997,-0.1523549610723119
14,-0.9502210386034537,-0.9385004639727308,-0.9188334107742891,-0.8891497703333617,-0.8252811696748641,-0.8027677772552184,-0.7932192811704817,-0.7755575722537322,-0.733400157402948,-0.7070714803909873,-0.6837311473896187,-0.6521142646087306,-0.5583335418634904,-0.5687183680192973,-0.494114990756769,-0.4707478304825192
15,-0.9358715237292867,-0.9316960404172978,-0.9261780326314876,-0.9189600654689822,-0.8666422141815963,-0.802581666041724,-0.7726334747661137,-0.7164136692701684,-0.6655213164314877,-0.6585247574159276,-0.6367196641134794,-0.6397817863637459,-0.5980755629473761,-0.5906007903819439,-0.5109094821704447,-0.6602360894894684
16,-0.9665493268725643,-0.9527465849556238,-0.9191129920087817,-0.8749922257627692,-0.7845454947103851,-0.7421155283375034,-0.7304173476076157,-0.6916448187694324,-0.6362243395797207,-0.6310822953928432,-0.5931405032385028,-0.55801036919802,-0.5220713029668331,-0.5018733113525433,-0.4665328174605406,-0.43568824527456074
17,-0.9509448273368937,-0.9409312654026121,-0.9420271634278595,-0.9403004561472565,-0.8957670137318954,-0.8580105453206616,-0.833486438313309,-0.8049304718468984,-0.7654990301610194,-0.7337712355372722,-0.7617868218197528,-0.7538696468950856,-0.7060727264892411,-0.7444062757458757,-0.8374408220262377,-0.9333309037780064
18,-0.9667526473929617,-0.9425103582490789,-0.9349472092695044,-0.9228791503504117,-0.8916964317421979,-0.8546487462182969,-0.8256504439340068,-0.7896961391787021,-0.7492489869314373,-0.7370641167597163,-0.7023116242152827,-0.6459504086675101,-0.5663334763503027,-0.6216939941704609,-0.6174695363472358,-0.5225037947645932
19,-0.9553077570440986,-0.9318237308251707,-0.8620482114720618,-0.7787463070596158,-0.6621998681913297,-0.6424064526334383,-0.6566010517203695,-0.6053619660140785,-0.6140763772729116,-0.6233513500579654,-0.546685673154691,-0.5292227038604891,-0.48072091475916356,-0.30705091844578125,-0.24438451134582864,-0.12184109033441023
20,-0.934502678654103,-0.9145721785900114,-0.8889498673610265,-0.8282250699643521,-0.7509334433455921,-0.7293126692873309,-0.7075465763242772,-0.652737565709289,-0.6448430935457812,-0.6416395912712682,-0.5368854903095716,-0.5392898100405106,-0.5643805223654518,-0.6529756010320289,-0.6075846163703805,-0.6600225162957546
21,-0.8814536018045784,-0.9186713115448828,-0.9269360874961077,-0.9208167228743367,-0.8736083140065428,-0.8237114512641723,-0.805108625822111,-0.7628338150857107,-0.6581707042710495,-0.6401318961881575,-0.5917543142876138,-0.56422663134716,-0.5594381512034731,-0.48215812014504267,-0.4911628598526662,-0.4437477248174527
22,-0.9767335867189016,-0.9595030598926158,-0.9175387529918835,-0.8445347416794835,-0.7541091990524373,-0.7385188729425015,-0.7260045434333262,-0.6957511192897846,-0.6835641483134971,-0.6506687127148697,-0.6234767890621802,-0.6019073216927656,-0.4715285684472533,-0.5500089745913525,-0.4446750180142514,-0.39246409098868934
